epoch,wall_seconds,n_sequences,sec_per_seq,reward_seconds,af_calls,mean_reward,iptm_mean,plddt_mean,cdr_plddt_mean
0,108.106,24,4.504,105.890,6,0.3142,0.1732,0.7928,0.6173
1,66.042,24,2.752,64.861,6,0.3070,0.1688,0.7907,0.5916
